transaction_id,timestamp,user_id,amount,payment_method,bank,card_network,location,device_type,device_age_days,account_age_days,previous_txn_count,txn_velocity_1h,avg_amount_7d,amount_deviation,latency_ms,retry_count,ip_risk_score,device_risk_score,location_risk_score,bank_risk_score,amount_risk_score,scenario,actual_risk,outcome
T503644,2026-08-01 00:15:24,U100177,600.13,Wallet,Punjab National Bank,NOT_CARD,Lucknow,desktop,186,484,67,0,563.99,0.0641,139.2,0,0.0162,0.157,0.0764,0.4836,0.2267,NORMAL,0.0752,LEGIT
T549666,2026-08-01 00:16:19,U100722,727.75,Netbanking,Axis Bank,NOT_CARD,Pune,mobile,736,2535,401,1,679.94,0.0703,212.6,0,0.1258,0.2358,0.1013,0.1363,0.1815,NORMAL,0.107,LEGIT
T528331,2026-08-01 00:16:52,U100559,185.36,Netbanking,Yes Bank,NOT_CARD,Bengaluru,desktop,1118,2553,422,0,267.79,-0.3078,85.3,0,0.0809,0.3818,0.2307,0.2196,0.3085,NORMAL,0.055,LEGIT
T548215,2026-08-01 00:17:31,U100201,730.32,Card,IDFC First Bank,RuPay,Mumbai,desktop,1212,2725,441,0,516.64,0.4136,170.7,0,0.1908,0.3308,0.3393,0.1487,0.3314,NORMAL,0.1686,LEGIT
T501631,2026-08-01 00:18:05,U101132,1182.89,Card,HDFC Bank,Amex,Delhi,mobile,107,2383,392,0,1398.43,-0.1541,42.1,0,0.1705,0.3664,0.0308,0.1142,0.1152,NORMAL,0.0542,LEGIT
T548491,2026-08-01 00:19:00,U101096,446.04,UPI,State Bank of India,NOT_CARD,Delhi,mobile,1336,2506,427,0,575.05,-0.2243,141.3,1,0.2757,0.1372,0.2391,0.0844,0.5222,NORMAL,0.1161,LEGIT
T533457,2026-08-01 00:19:39,U100746,1369.92,Card,ICICI Bank,Amex,Pune,mobile,670,1597,246,2,2365.9,-0.421,102.9,0,0.2172,0.1898,0.1638,0.1672,0.2297,NORMAL,0.1466,LEGIT
T537985,2026-08-01 00:20:50,U100054,544.16,Netbanking,State Bank of India,NOT_CARD,Kolkata,mobile,405,1493,249,0,745.59,-0.2702,178.4,1,0.1699,0.0463,0.1771,0.1984,0.2477,NORMAL,0.0476,LEGIT
T548042,2026-08-01 00:21:15,U100176,579.68,UPI,Bank of Baroda,NOT_CARD,Pune,mobile,154,2151,348,0,446.88,0.2972,150.1,0,0.1796,0.052,0.1578,0.0865,0.3268,NORMAL,0.1292,LEGIT
T525729,2026-08-01 00:21:46,U100310,1302.56,UPI,ICICI Bank,NOT_CARD,Delhi,desktop,1170,1998,350,0,1869.51,-0.3033,135.6,0,0.2168,0.1742,0.2104,0.2133,0.2599,NORMAL,0.0737,LEGIT
T549997,2026-08-01 00:23:04,U100922,493.07,Netbanking,Punjab National Bank,NOT_CARD,Chennai,mobile,547,1340,187,0,541.98,-0.0902,251.75246493281878,0,0.1079,0.3671,0.2274,0.761686412845242,0.1735,BANK_DRIFT,0.0462,LEGIT
T530867,2026-08-01 00:23:30,U100476,760.09,Netbanking,Yes Bank,NOT_CARD,Delhi,desktop,1472,2541,405,0,1038.72,-0.2682,51.5,0,0.1107,0.2546,0.1216,0.1163,0.2038,NORMAL,0.1503,LEGIT
T509185,2026-08-01 00:26:03,U101322,520.06,Card,Bank of Baroda,RuPay,Hyderabad,mobile,1401,1649,303,0,579.04,-0.1019,248.3,0,0.245,0.2083,0.2843,0.1667,0.202,NORMAL,0.09,LEGIT
T510197,2026-08-01 00:26:04,U100614,1021.45,UPI,Axis Bank,NOT_CARD,Jaipur,mobile,1165,2058,349,0,1036.85,-0.0149,125.1,0,0.0395,0.1514,0.1824,0.45,0.0406,NORMAL,0.0438,LEGIT
T506875,2026-08-01 00:27:44,U101205,1445.85,Card,ICICI Bank,Amex,Hyderabad,mobile,317,2710,433,0,932.37,0.5507,180.4,0,0.1042,0.2455,0.0683,0.2221,0.6332,NORMAL,0.0635,FRAUD
T505560,2026-08-01 00:29:27,U101414,715.22,Netbanking,Yes Bank,NOT_CARD,Jaipur,mobile,717,2442,280,0,570.03,0.2547,108.2,1,0.9639833266507156,0.01581195063468449,0.9844481643966587,0.3552,0.3468,SIGNAL_CONFLICT,0.2582,LEGIT
T517104,2026-08-01 00:29:55,U101048,916.59,Netbanking,Punjab National Bank,NOT_CARD,Chennai,mobile,124,2005,320,1,501.83,0.8265,99.0,0,0.0429,0.1845,0.0425,0.1149,0.589,NORMAL,0.132,LEGIT
T504676,2026-08-01 00:34:13,U100106,53.3,UPI,HDFC Bank,NOT_CARD,Mumbai,mobile,498,2341,390,0,90.24,-0.4094,146.6,0,0.2724,0.0456,0.3208,0.1087,0.2627,NORMAL,0.1316,LEGIT
T502000,2026-08-01 00:34:22,U100959,622.02,Card,Bank of Baroda,Mastercard,Jaipur,mobile,1196,1236,201,0,936.38,-0.3357,149.2,1,0.1924,0.2697,0.0576,0.1395,0.2156,NORMAL,0.1265,LEGIT
T530827,2026-08-01 00:34:43,U100516,139.77,UPI,ICICI Bank,NOT_CARD,Bengaluru,mobile,189,2645,441,0,284.3,-0.5084,295.1,0,0.0787,0.1383,0.0379,0.0932,0.4437,NORMAL,0.1085,LEGIT
T527898,2026-08-01 00:36:02,U101246,5520.86,UPI,Bank of Baroda,NOT_CARD,Chennai,mobile,1399,2579,433,1,2267.0,1.4353,158.5,0,0.1199,0.2111,0.1159,0.2325,0.6542,NORMAL,0.1394,LEGIT
T535480,2026-08-01 00:39:32,U101044,438.27,Netbanking,State Bank of India,NOT_CARD,Lucknow,desktop,952,2127,338,1,427.77,0.0245,109.5,0,0.1385,0.3191,0.2199,0.1462,0.2031,NORMAL,0.0593,LEGIT
T506121,2026-08-01 00:39:36,U100801,3080.71,UPI,HDFC Bank,NOT_CARD,Delhi,mobile,61,906,109,2,2568.59,0.1994,93.6,0,0.1462,0.3804,0.3263,0.2978,0.4186,NORMAL,0.0863,LEGIT
T530011,2026-08-01 00:40:10,U100241,180.85,Wallet,IDFC First Bank,NOT_CARD,Mumbai,mobile,1368,1752,293,0,204.01,-0.1135,139.0,1,0.0912,0.2835,0.2033,0.1137,,MISSING_SIGNAL,0.1653,LEGIT
T534342,2026-08-01 00:40:34,U101080,1171.5,Card,Kotak Mahindra Bank,Amex,Lucknow,mobile,1102,2761,459,0,1091.41,0.0734,50.1,1,0.2108,0.0812,0.0934,0.3018,0.4662,NORMAL,0.0601,LEGIT
T515427,2026-08-01 00:41:21,U101349,1438.91,Netbanking,Punjab National Bank,NOT_CARD,Lucknow,mobile,1374,1786,294,1,1430.49,0.0059,202.0,0,0.0776,0.1057,0.1571,0.1374,0.2099,NORMAL,0.0415,LEGIT
T508707,2026-08-01 00:41:21,U101418,726.47,UPI,Punjab National Bank,NOT_CARD,Ahmedabad,mobile,72,2583,435,0,823.53,-0.1179,275.3,0,0.2142,0.3832,0.1217,0.1245,0.1516,NORMAL,0.0982,LEGIT
T535628,2026-08-01 00:44:54,U100956,1623.81,UPI,Bank of Baroda,NOT_CARD,Delhi,mobile,266,1202,215,1,1446.32,0.1227,117.8,0,0.0867,0.2267,0.2365,0.1697,0.2132,NORMAL,0.1451,LEGIT
T547588,2026-08-01 00:45:07,U101170,301.14,UPI,State Bank of India,NOT_CARD,Pune,mobile,200,1887,329,1,253.07,0.1899,263.3,0,0.1421,0.1758,0.1744,0.1811,0.2104,NORMAL,0.0986,LEGIT
T544554,2026-08-01 00:48:45,U100234,366.0,UPI,HDFC Bank,NOT_CARD,Bengaluru,mobile,825,1478,235,0,459.67,-0.2038,224.2,0,0.3645,0.0694,0.1076,0.388,0.3738,NORMAL,0.1753,LEGIT
T504030,2026-08-01 00:49:18,U100330,220.29,Netbanking,Bank of Baroda,NOT_CARD,Ahmedabad,mobile,1056,1640,254,0,146.76,0.501,79.6,0,0.2581,0.2758,0.3534,0.0588,0.3379,NORMAL,0.1317,LEGIT
T518943,2026-08-01 00:50:49,U101211,2620.33,UPI,IndusInd Bank,NOT_CARD,Mumbai,mobile,143,2346,384,0,2352.24,0.114,82.9,0,0.2257,0.2503,0.0756,0.1461,0.3702,NORMAL,0.0694,LEGIT
T533688,2026-08-01 00:50:58,U101261,1097.93,Card,Punjab National Bank,Amex,Pune,mobile,537,2774,453,0,1480.91,-0.2586,82.61520454022,0,0.0836,0.3047,0.1685,0.8094610008539328,0.221,BANK_DRIFT,0.1501,LEGIT
T515038,2026-08-01 00:51:01,U100289,453.69,Wallet,Bank of Baroda,NOT_CARD,Chennai,desktop,1450,1420,242,0,504.51,-0.1007,99.2,0,0.0782,0.1961,0.0893,0.4872,0.3098,NORMAL,0.0819,LEGIT
T528534,2026-08-01 00:51:58,U100019,638.66,UPI,Kotak Mahindra Bank,NOT_CARD,Ahmedabad,mobile,951,1351,191,0,505.49,0.2635,240.1,0,0.27,0.5457,0.1707,0.078,0.1846,NORMAL,0.0783,LEGIT
T530966,2026-08-01 00:53:24,U100482,1463.73,Card,Axis Bank,Mastercard,Kolkata,mobile,625,752,131,0,1410.7,0.0376,196.9,0,0.194,0.1029,,0.1421,0.214,MISSING_SIGNAL,0.0718,LEGIT
T530167,2026-08-01 00:54:50,U100915,342.48,UPI,Punjab National Bank,NOT_CARD,Mumbai,mobile,844,1376,245,0,241.67,0.4172,148.3,0,0.1173,0.2527,0.1878,0.1393,0.4344,NORMAL,0.0538,LEGIT
T514969,2026-08-01 00:56:16,U101085,1531.06,Netbanking,IDFC First Bank,NOT_CARD,Jaipur,mobile,195,2517,390,0,1058.24,0.4468,160.9,0,0.0762,0.1203,0.0116,0.0337,0.2725,NORMAL,0.0,LEGIT
T521576,2026-08-01 00:56:21,U101075,871.98,Card,IndusInd Bank,Visa,Lucknow,mobile,471,492,77,3,1162.51,-0.2499,197.1,0,0.0755,0.1011,0.1067,0.1127,0.2293,NORMAL,0.0828,LEGIT
T512828,2026-08-01 00:56:28,U101393,661.76,Card,Kotak Mahindra Bank,RuPay,Jaipur,mobile,666,2227,374,0,438.3,0.5098,173.9,0,0.4139,0.1486,0.0619,0.1489,0.4812,NORMAL,0.0552,LEGIT
T505933,2026-08-01 00:57:07,U100284,2325.06,Card,IDFC First Bank,RuPay,Jaipur,desktop,1255,1324,220,0,1990.12,0.1683,152.5,0,0.2711,0.425,0.2104,0.1687,0.2122,NORMAL,0.1489,LEGIT
T501274,2026-08-01 00:57:11,U100827,1231.99,UPI,ICICI Bank,NOT_CARD,Kolkata,mobile,321,2691,436,2,1064.82,0.157,72.1,0,0.0379,0.2331,0.0553,0.224,0.1642,NORMAL,0.1001,LEGIT
T508245,2026-08-01 00:57:40,U100645,387.04,Card,Bank of Baroda,RuPay,Hyderabad,mobile,457,985,169,0,214.51,0.8043,95.3,0,0.1702,0.1072,0.1553,0.0232,0.5115,NORMAL,0.142,LEGIT
T534327,2026-08-01 00:58:18,U100415,1826.4,Card,Yes Bank,Amex,Chennai,mobile,365,2033,358,0,1971.76,-0.0737,60.7,0,0.0787,0.2561,0.0819,0.0804,0.3238,NORMAL,0.0,LEGIT
T544840,2026-08-01 00:58:26,U101389,775.15,UPI,Kotak Mahindra Bank,NOT_CARD,Bengaluru,mobile,1098,2727,457,0,642.25,0.2069,102.2,0,0.1777,0.1121,0.0744,0.0305,0.154,NORMAL,0.0486,LEGIT
T517263,2026-08-01 00:59:03,U101082,1637.21,UPI,IndusInd Bank,NOT_CARD,Kolkata,mobile,844,2874,474,0,1549.18,0.0568,48.5,0,0.1799,0.1934,0.3173,0.119,0.2292,NORMAL,0.0975,LEGIT
T502826,2026-08-01 01:00:35,U101221,582.47,UPI,HDFC Bank,NOT_CARD,Ahmedabad,mobile,1316,1659,277,0,693.58,-0.1602,132.8,0,0.0504,0.141,0.1067,0.0927,0.4888,NORMAL,0.1551,LEGIT
T549397,2026-08-01 01:01:17,U100184,397.39,Wallet,Yes Bank,NOT_CARD,Jaipur,mobile,781,1487,238,3,305.1,0.3025,84.6,0,0.3866,0.0108,0.1388,0.2292,,MISSING_SIGNAL,0.1418,LEGIT
T543692,2026-08-01 01:02:07,U101483,205.96,Card,IndusInd Bank,Mastercard,Delhi,mobile,169,337,65,0,329.29,-0.3745,255.8,0,0.2739,0.0245,0.1693,0.2667,0.3916,NORMAL,0.2186,LEGIT
T525707,2026-08-01 01:02:14,U100196,481.48,UPI,Yes Bank,NOT_CARD,Ahmedabad,mobile,971,1028,192,1,340.19,0.4153,108.0,0,0.1277,0.147,0.1025,0.1813,0.3664,NORMAL,0.1547,LEGIT
T504886,2026-08-01 01:02:38,U100342,1222.04,UPI,Punjab National Bank,NOT_CARD,Bengaluru,mobile,1135,1865,303,1,2198.08,-0.444,85.3,0,0.1997,0.1224,0.1926,0.1016,0.4457,NORMAL,0.1767,LEGIT
T512664,2026-08-01 01:04:30,U101159,459.23,Card,Punjab National Bank,Amex,Bengaluru,mobile,824,1022,145,0,517.86,-0.1132,482.6814163940656,0,0.0333,0.0832,0.0837,0.7301930136751585,0.2128,BANK_DRIFT,0.0377,LEGIT
T549598,2026-08-01 01:05:01,U101317,611.87,Card,ICICI Bank,Amex,Chennai,mobile,6,1771,310,15,492.04,0.2435,158.8,3,0.1656,0.1531,0.1609,0.2314,0.2026,HIGH_VELOCITY,0.2596,LEGIT
T519938,2026-08-01 01:05:15,U100567,510.13,UPI,ICICI Bank,NOT_CARD,Jaipur,mobile,720,748,124,1,632.2,-0.1931,116.8,1,0.1846,0.2684,0.1155,0.3658,0.2305,NORMAL,0.1422,LEGIT
T532082,2026-08-01 01:06:01,U100948,485.42,Card,Punjab National Bank,Mastercard,Jaipur,desktop,75,2843,478,1,291.22,0.6669,353.66160007879506,0,0.1314,0.0421,0.1025,0.46960415405986417,0.3461,BANK_DRIFT,0.2095,LEGIT
T514012,2026-08-01 01:06:26,U101304,355.84,Card,IndusInd Bank,RuPay,Ahmedabad,mobile,533,1832,285,1,290.5,0.2249,206.8,0,0.1562,0.0735,0.2199,0.3933,0.2148,NORMAL,0.0811,FRAUD
T548907,2026-08-01 01:06:58,U101316,2203.43,Netbanking,IDFC First Bank,NOT_CARD,Pune,mobile,529,2129,347,0,1546.53,0.4248,254.6,0,0.2196,0.0918,0.137,0.2281,,MISSING_SIGNAL,0.1565,LEGIT
T540963,2026-08-01 01:09:23,U100492,355.59,Netbanking,Kotak Mahindra Bank,NOT_CARD,Hyderabad,mobile,1480,2260,373,0,621.86,-0.4282,189.9,0,0.2976,0.0392,0.2255,0.1933,0.2506,NORMAL,0.1167,LEGIT
T547712,2026-08-01 01:11:44,U101126,578.19,UPI,HDFC Bank,NOT_CARD,Kolkata,desktop,745,2562,427,0,837.96,-0.31,118.7,0,0.1199,0.232,0.0648,0.6315,0.1798,NORMAL,0.1274,LEGIT
T539159,2026-08-01 01:13:44,U100378,105.24,UPI,Punjab National Bank,NOT_CARD,Pune,mobile,1301,1140,204,0,118.82,-0.1143,98.7,0,0.4265,0.1513,0.0947,0.3226,0.2303,NORMAL,0.1096,LEGIT
T500353,2026-08-01 01:14:22,U101470,1641.3,Card,Kotak Mahindra Bank,Visa,Pune,mobile,318,2693,459,1,1269.67,0.2927,141.4,0,0.0841,0.1628,0.3131,0.198,0.3792,NORMAL,0.1018,LEGIT
T535074,2026-08-01 01:15:08,U100326,499.7,Netbanking,Punjab National Bank,NOT_CARD,Chennai,mobile,1104,710,110,0,502.35,-0.0053,182.9,2,0.1603,0.0406,0.3609,0.0784,0.1626,NORMAL,0.118,LEGIT
T529951,2026-08-01 01:15:22,U100300,676.92,Netbanking,ICICI Bank,NOT_CARD,Pune,mobile,1454,1091,186,0,548.0,0.2352,109.3,0,0.0769,0.1792,0.0164,0.2732,0.2066,NORMAL,0.1315,FRAUD
T524393,2026-08-01 01:15:42,U100260,6848.8,UPI,State Bank of India,NOT_CARD,Delhi,mobile,1323,2380,403,0,3411.39,1.0076,133.6,0,0.1875,0.3066,0.3048,0.0239,0.4473,NORMAL,0.1741,LEGIT
T537105,2026-08-01 01:16:08,U100778,2941.45,UPI,Bank of Baroda,NOT_CARD,Bengaluru,desktop,922,813,146,1,1390.62,1.1152,173.0,0,0.3657,0.1913,0.3928,0.2509,0.6922,NORMAL,0.2326,LEGIT
T543918,2026-08-01 01:17:21,U100636,458.69,Wallet,Punjab National Bank,NOT_CARD,Delhi,desktop,1462,707,112,0,629.6,-0.2715,132.8,0,0.2009,0.1078,0.1728,0.1127,0.3968,NORMAL,0.1134,LEGIT
T536981,2026-08-01 01:18:24,U100637,874.75,Netbanking,ICICI Bank,NOT_CARD,Pune,mobile,1496,891,140,0,745.12,0.174,87.6,0,0.1705,0.3097,0.1258,0.2907,0.1932,NORMAL,0.0664,LEGIT
T504708,2026-08-01 01:19:08,U100150,352.81,UPI,Kotak Mahindra Bank,NOT_CARD,Kolkata,mobile,723,2567,432,0,247.0,0.4284,126.6,0,0.3738,0.1047,0.5352,0.089,0.2002,NORMAL,0.1192,LEGIT
T545522,2026-08-01 01:19:38,U100394,144.42,Card,Axis Bank,Visa,Jaipur,mobile,5,1729,361,0,125.07,0.1547,70.8,1,0.869736779025464,0.0287795385476603,0.9819049227720478,0.5189,0.272,SIGNAL_CONFLICT,0.1426,LEGIT
T502231,2026-08-01 01:20:21,U100329,1045.95,Netbanking,ICICI Bank,NOT_CARD,Pune,mobile,542,1665,284,2,1042.95,0.0029,208.2,0,0.0695,0.2569,0.2715,0.1701,0.2599,NORMAL,0.1068,LEGIT
T511237,2026-08-01 01:21:35,U100422,174.57,Wallet,Bank of Baroda,NOT_CARD,Ahmedabad,mobile,785,2298,352,1,277.98,-0.372,158.2,0,0.0456,0.1888,0.3171,0.2334,0.4321,NORMAL,0.1171,LEGIT
T509087,2026-08-01 01:23:13,U100962,330.71,Card,Yes Bank,Visa,Pune,mobile,496,2520,411,1,350.43,-0.0563,123.4,1,0.1426,0.2901,0.1035,0.2273,0.2646,NORMAL,0.1594,LEGIT
T523068,2026-08-01 01:23:38,U100811,2145.45,Card,Kotak Mahindra Bank,Amex,Chennai,desktop,988,2637,444,0,1112.84,0.9279,166.9,0,0.1568,0.2363,0.1111,0.3334,0.5995,NORMAL,0.2512,LEGIT
T516220,2026-08-01 01:24:16,U100961,149.79,Card,State Bank of India,RuPay,Mumbai,mobile,175,1226,188,0,172.74,-0.1328,204.0,0,0.1368,0.1294,0.1667,0.2369,0.2102,NORMAL,0.1204,LEGIT
T532844,2026-08-01 01:24:24,U100713,1615.29,Card,Axis Bank,Mastercard,Lucknow,tablet,1197,2292,357,0,1721.15,-0.0615,126.3,0,0.0674,0.1082,0.5055,0.0779,0.2317,NORMAL,0.1358,LEGIT
T508754,2026-08-01 01:26:00,U101140,404.97,Card,IndusInd Bank,Amex,Mumbai,mobile,1438,2643,450,0,632.48,-0.3597,210.2,0,0.4823,0.2063,0.391,0.0172,0.6679,NORMAL,0.1268,LEGIT
T509397,2026-08-01 01:26:03,U100948,221.97,Card,Bank of Baroda,Visa,Jaipur,desktop,75,2843,478,0,291.22,-0.2378,118.1,0,0.0649,0.2399,0.1738,0.028,0.2459,NORMAL,0.0029,LEGIT
T515768,2026-08-01 01:26:40,U100591,625.04,Card,Yes Bank,Visa,Jaipur,mobile,858,2708,463,2,479.15,0.3045,66.5,0,0.1892,0.215,0.0761,0.2466,0.3095,NORMAL,0.142,LEGIT
T530622,2026-08-01 01:28:02,U100109,2299.21,Wallet,HDFC Bank,NOT_CARD,Hyderabad,mobile,1358,2115,312,0,1635.5,0.4058,164.3,0,0.1084,0.3991,0.0311,0.4188,0.2459,NORMAL,0.0739,LEGIT
T538737,2026-08-01 01:30:16,U101030,1733.22,UPI,HDFC Bank,NOT_CARD,Delhi,mobile,726,1463,232,0,1871.39,-0.0738,162.7,0,0.0955,0.3381,0.3387,0.7251,0.1092,NORMAL,0.1597,LEGIT
T516888,2026-08-01 01:34:09,U100728,1330.49,UPI,State Bank of India,NOT_CARD,Kolkata,desktop,391,1465,239,0,1278.48,0.0407,155.5,0,0.4688,0.0088,0.148,0.1015,0.1557,NORMAL,0.0472,LEGIT
T500855,2026-08-01 01:35:37,U100956,1003.54,Card,Bank of Baroda,Visa,Delhi,mobile,266,1202,215,0,1446.32,-0.3061,127.8,0,0.2845,0.0736,0.0688,0.1613,0.3784,NORMAL,0.041,LEGIT
T511428,2026-08-01 01:38:02,U100711,1073.86,UPI,IDFC First Bank,NOT_CARD,Hyderabad,desktop,856,1568,247,0,1454.92,-0.2619,118.5,0,0.2366,0.0686,0.1044,0.1679,0.136,NORMAL,0.0287,LEGIT
T528064,2026-08-01 01:39:07,U101474,2301.11,UPI,ICICI Bank,NOT_CARD,Lucknow,mobile,717,2931,491,0,2110.15,0.0905,183.5,0,0.214,0.0842,0.0458,0.3108,0.3418,NORMAL,0.1271,LEGIT
T521157,2026-08-01 01:39:54,U101172,426.07,Card,State Bank of India,Amex,Ahmedabad,mobile,342,1631,178,1,325.02,0.3109,255.1,0,0.8532871488011176,0.05625974588914495,0.8259866557712754,0.373,0.3615,SIGNAL_CONFLICT,0.2214,LEGIT
T533236,2026-08-01 01:40:10,U101324,476.81,Card,IDFC First Bank,Mastercard,Bengaluru,mobile,413,2599,412,0,523.35,-0.0889,184.9,0,0.0829,0.1234,0.1024,0.1369,0.2135,NORMAL,0.0,LEGIT
T548955,2026-08-01 01:40:25,U100948,269.8,UPI,Bank of Baroda,NOT_CARD,Jaipur,desktop,75,2843,478,0,291.22,-0.0735,75.0,0,0.0892,0.0168,0.0559,0.2012,0.1468,NORMAL,0.0,LEGIT
T545026,2026-08-01 01:42:15,U100670,335.48,UPI,IndusInd Bank,NOT_CARD,Chennai,mobile,373,2857,466,0,318.68,0.0527,161.9,0,0.0052,0.3796,0.1205,0.1861,0.4871,NORMAL,0.1111,LEGIT
T529566,2026-08-01 01:44:13,U101086,1290.13,Card,Yes Bank,Visa,Delhi,mobile,123,2405,407,0,1028.83,0.254,97.4,0,0.3064,0.2984,0.425,0.1333,0.1562,NORMAL,0.1109,LEGIT
T508285,2026-08-01 01:44:54,U100645,133.82,UPI,Bank of Baroda,NOT_CARD,Hyderabad,mobile,457,985,169,3,214.51,-0.3762,114.1,1,0.225,0.1545,0.2937,0.3478,0.3614,NORMAL,0.1499,LEGIT
T532424,2026-08-01 01:45:42,U100611,1313.29,Card,IndusInd Bank,Visa,Delhi,desktop,1018,1388,215,0,1607.77,-0.1832,182.8,0,,0.2229,,0.1202,0.3967,MISSING_SIGNAL,0.1875,LEGIT
T544093,2026-08-01 01:45:57,U100812,295.4,UPI,State Bank of India,NOT_CARD,Pune,mobile,1468,2053,356,0,219.96,0.343,100.6,0,0.2954,0.2366,0.19,0.1814,0.4639,NORMAL,0.1951,LEGIT
T521135,2026-08-01 01:47:12,U100163,739.14,Wallet,Bank of Baroda,NOT_CARD,Mumbai,mobile,913,1219,185,1,417.67,0.7697,717.5251810781,0,0.1432,0.0557,0.1942,0.3102,0.4572,LATENCY_ANOMALY,0.1698,LEGIT
T508516,2026-08-01 01:47:46,U100485,362.9,UPI,IndusInd Bank,NOT_CARD,Ahmedabad,mobile,438,698,106,1,567.6,-0.3606,184.3,0,0.0766,0.2865,0.0055,0.0776,0.4021,NORMAL,0.1039,LEGIT
T547694,2026-08-01 01:48:20,U101276,2579.89,Netbanking,Bank of Baroda,NOT_CARD,Mumbai,mobile,1106,1971,333,0,1641.11,0.572,113.7,1,0.3672,0.1321,0.1361,0.1818,0.3969,NORMAL,0.1851,LEGIT
